ASN,Prefix,Max prefix length
AS13768,154.127.54.0/23,24
AS19844,154.16.245.0/24,24
AS265280,154.16.167.0/24,24
AS9891,154.16.209.0/24,24
AS36352,154.16.112.0/24,24
AS36352,154.16.114.0/23,24
AS36352,154.16.116.0/22,24
AS36352,154.16.144.0/22,24
AS17185,154.16.159.0/24,24
AS40676,154.16.137.0/24,24
AS54825,154.16.136.0/24,24
AS60458,154.16.95.0/24,24
AS60458,154.16.194.0/24,24
AS60458,154.16.212.0/24,24
AS60458,154.16.242.0/24,24
AS60458,154.16.254.0/24,24
AS63018,154.16.244.0/24,24
AS38001,154.16.19.0/24,24
AS54540,154.16.81.0/24,24
AS54540,154.16.83.0/24,24
AS20473,154.16.174.0/24,24
AS20473,154.16.184.0/21,24
AS200859,154.16.73.0/24,24
AS202322,154.16.31.0/24,24
AS202322,154.16.233.0/24,24
AS202322,154.16.239.0/24,24
AS23470,154.16.150.0/24,24
AS23470,154.16.151.0/24,24
AS23470,154.16.156.0/23,24
AS23470,154.16.229.0/24,24
AS23470,154.16.238.0/24,24
AS23470,154.16.246.0/24,24
AS13768,154.16.67.0/24,24
AS13768,154.16.79.0/24,24
AS131178,154.16.165.0/24,24
AS397423,154.16.168.0/24,24
AS30058,154.16.153.0/24,24
AS20278,154.16.205.0/24,24
AS17216,154.16.168.0/22,24
AS397373,154.16.71.0/24,24
AS397373,154.16.75.0/24,24
AS397373,154.16.77.0/24,24
AS397373,154.16.113.0/24,24
AS397373,154.16.247.0/24,24
AS397423,154.127.54.0/24,24
AS397423,154.16.169.0/24,24
AS36924,2c0f:f0f8::/32,48
AS36924,102.64.128.0/17,24
AS61317,102.165.33.0/24,24
AS61317,102.165.34.0/24,24
AS61317,102.165.35.0/24,24
AS61317,102.165.36.0/24,24
AS61317,102.165.37.0/24,24
AS61317,102.165.38.0/24,24
AS61317,102.165.39.0/24,24
AS61317,102.165.48.0/24,24
AS61317,102.165.49.0/24,24
AS61317,102.165.50.0/24,24
AS61317,102.165.51.0/24,24
AS61317,102.165.52.0/24,24
AS61317,102.165.53.0/24,24
AS61317,102.165.54.0/24,24
AS61317,102.165.55.0/24,24
AS61317,102.165.32.0/24,24
AS37226,196.46.29.0/24,24
AS328112,2c0f:f3c8::/32,64
AS36915,41.207.70.0/23,24
AS36915,41.207.64.0/19,24
AS36915,2001:4370::/32,48
AS36915,41.207.64.0/19,19
AS36915,2001:4370::/32,32
AS36915,41.207.66.0/23,24
AS36915,41.207.68.0/23,24
AS36915,2001:4370::/48,48
AS36915,41.207.64.0/23,24
AS327954,196.50.1.0/24,24
AS37670,41.77.48.0/21,24
AS37670,41.77.48.0/24,24
AS37670,41.77.49.0/24,24
AS37670,41.77.50.0/24,24
AS37670,41.77.51.0/24,24
AS37670,41.77.52.0/24,24
AS37670,41.77.53.0/24,24
AS37670,41.77.54.0/24,24
AS37670,41.77.55.0/24,24
AS37670,2c0f:fbc0::/32,48
AS36958,41.86.32.0/19,24
AS36958,41.191.120.0/22,24
AS36958,41.222.204.0/22,24
AS36958,41.223.216.0/22,24
AS36958,197.157.96.0/19,24
